,name,brand,model,mileage_km,fuel_type,transmission,engine_cc,city,price_pkr
0,Toyota Surf  1997  for Sale,Toyota,1997,100000,Petrol,Automatic,2700,Gujrat,4100000
1,Suzuki Jimny  1991  for Sale,Suzuki,1991,130000,Petrol,Manual,1000,Gujrat,1100000
2,Honda City  2004 i-DSI Vario for Sale,Honda,2004,250000,Petrol,Automatic,1300,Lahore,1825000
3,Honda City  2005 i-DSI for Sale,Honda,2005,250000,Petrol,Manual,1300,Lahore,1625000
4,Toyota IST  2003 1.3 A for Sale,Toyota,2003,100000,Petrol,Automatic,1300,Karachi,1500000
5,Toyota Mark X  2005 250 G L Package for Sale,Toyota,2005,210000,Petrol,Automatic,2500,Islamabad,4150000
6,Toyota Land Cruiser 5th (J80) Generation 1995 VX Limited 4.5 for Sale,Toyota,1995,200000,Petrol,Automatic,4500,Karachi,4800000
7,Daihatsu Cuore  2006 CL for Sale,Daihatsu,2006,100000,Petrol,Manual,800,Lahore,995000
8,Toyota Prado  2011 TX 2.7 for Sale,Toyota,2011,64373,Petrol,Automatic,2700,Karachi,13760000
9,Honda City  2005 i-DSI Vario for Sale,Honda,2005,160000,Petrol,Automatic,1300,Chowk munda,1900000
10,Honda Civic  2005 EXi Prosmatec for Sale,Honda,2005,95000,Petrol,Automatic,1500,Islamabad,2650000
11,Daihatsu Cuore  2002 CX Automatic for Sale,Daihatsu,2002,249000,Petrol,Automatic,800,Lahore,995000
12,Suzuki Swift  2011 DLX 1.3 for Sale,Suzuki,2011,215000,Petrol,Manual,1300,Lahore,1500000
13,Honda Accord  1987  for Sale,Honda,1987,200000,Petrol,Manual,1600,Chakwal,750000
14,Nissan Pixo  2010 Visia for Sale,Nissan,2010,60500,Petrol,Manual,996,Lahore,1800000
15,Suzuki Mehran  2007  for Sale,Suzuki,2007,100000,Petrol,Manual,800,Mardan,770000
16,Honda Civic 7th Generation (Facelift) 2004 VTi 1.6 for Sale,Honda,2004,182000,Petrol,Manual,1600,Karachi,1440000
17,Toyota Corolla 9th (E120) Generation 2007 Altis Automatic 1.8 for Sale,Toyota,2007,160000,Petrol,Automatic,1800,Gujranwala,2385000
18,KIA Spectra  2001 1.5 for Sale,KIA,2001,284815,Petrol,Manual,1500,Islamabad,1250000
